radio_id	radio_name	rssi	lqi	crc	software_version	board_serial_number	time_stamp_ms	callsign	temperature	fcb_altitude	v_speed	fcb_latitude	fcb_longitude	gps_alt	fcb_battery_voltage	ground_speed	course_over_ground	gps_time	gps_sats	fcb_state_number	ble_client	timestamp	run_number	distance	rot_vel_x	rot_vel_y	rot_vel_z	accel_x	accel_y	accel_z	magnetic_field_x	magnetic_field_y	magnetic_field_z	roll	pitch	yaw	orientation_quaternion	orientation_rpy	barometer_pressure	barometer_2_pressure	press_ref	ground_elev	ground_temp	gs_lat	gs_lon	gs_alt	gs_baro	gs_temp	pyro_continuity	pyro_status	flash_usage	cli_string
																						2022-10-15 11:01:28	1																					0.0	0.0	0.0	0.9988551690106094	26.82				
0	433 MHz Radio	-35 db	2	Good	0	0	287487	KM6GNL														2022-10-15 11:01:28	1																0.9977004528045654	0.9984110593795776	0.9981075525283813	0.0	16.0									
0	433 MHz Radio	-35 db	2	Good	0	0	287608	KM6GNL												6		2022-10-15 11:01:29	1		0.024388717487454414	0.011682759039103985	-0.00842991378158331	-0.714257538318634	-0.16869398951530457	9.66221809387207	0.5043100118637085	0.4721199870109558	0.9967300295829773	-3.1259257327784913	-1.2590520020177058	0.01330124993982124	[0.01, -0.78, -0.01, -0.61]	[-3.1259257327784913, -1.2590520020177058, 0.01330124993982124]														
0	433 MHz Radio	-35 db	2	Good	0	0	287608	KM6GNL	28.079999923706055	0.36396634578704834	-0.36097103357315063	44.82460123697917	-73.16708170572916	44.099998474121094	12.6197509765625	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:29	1	3.96615400531352																												
0	433 MHz Radio	-34 db	3	Good	0	0	287804	KM6GNL												6		2022-10-15 11:01:29	1		0.0005650490638799965	-0.0063377078622579575	-0.018203726038336754	-0.6460620760917664	-0.07896314561367035	9.572486877441406	0.4724099934101105	0.44369998574256897	1.0057200193405151	-3.1259257327784913	-1.2590520020177058	0.01330124993982124	[0.01, -0.78, -0.01, -0.61]	[-3.1259257327784913, -1.2590520020177058, 0.01330124993982124]														
0	433 MHz Radio	-35 db	2	Good	0	0	288000	KM6GNL												6		2022-10-15 11:01:29	1		0.006673681549727917	0.015836630016565323	0.011835476383566856	-0.696311354637146	0.1579262912273407	9.773484230041504	0.4535599946975708	0.44196000695228577	1.0196399688720703	3.057048898076795	-1.387235699840025	-0.061650170639259046	[0.05, 0.73, -0.05, 0.67]	[3.057048898076795, -1.387235699840025, -0.061650170639259046]														
0	433 MHz Radio	-37 db	3	Good	0	0	288210	KM6GNL												6		2022-10-15 11:01:29	1		0.057833481580019	0.059513356536626816	0.06895119696855545	-0.5814558863639832	0.6065805554389954	10.591829299926758	0.4695099890232086	0.44196000695228577	1.0118099451065063	3.057048898076795	-1.387235699840025	-0.061650170639259046	[0.05, 0.73, -0.05, 0.67]	[3.057048898076795, -1.387235699840025, -0.061650170639259046]														
0	433 MHz Radio	-37 db	2	Good	0	0	288210	KM6GNL	28.100000381469727	0.3825809061527252	-0.28176525235176086	44.82460123697917	-73.16708170572916	44.0	12.5870361328125	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:29	1	3.96615400531352																												
0	433 MHz Radio	-37 db	2	Good	0	0	288255	KM6GNL														2022-10-15 11:01:29	1																										[False, False, False, False, True, False]	[False, False, False, False, False, False, False, False]	2	
0	433 MHz Radio	-38 db	2	Good	0	0	288406	KM6GNL												6		2022-10-15 11:01:29	1		0.013698609545826912	0.18122786283493042	0.08055759966373444	-1.5038889646530151	0.5563312768936157	9.658628463745117	0.481689989566803	0.43123000860214233	1.0065900087356567	3.04618937807475	-1.3927975466600806	-0.056918510602415096	[0.05, 0.72, -0.05, 0.68]	[3.04618937807475, -1.3927975466600806, -0.056918510602415096]														
0	433 MHz Radio	-39 db	2	Good	0	0	288406	KM6GNL	28.110000610351562	0.504887044429779	-0.13913853466510773	44.82460123697917	-73.16708170572916	44.099998474121094	12.6033935546875	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:29	1	3.96615400531352																												
0	433 MHz Radio	-44 db	3	Good	0	0	288602	KM6GNL												6		2022-10-15 11:01:30	1		0.045463498681783676	0.25315701961517334	0.1396586149930954	-1.672582983970642	-0.07178467512130737	10.459027290344238	0.4483399987220764	0.39469000697135925	0.996150016784668	-1.0789871508062039	-1.3861432129698767	-1.0789871508062039	[0.03, 0.7000000000000001, -0.05, 0.7000000000000001]	[-1.0789871508062039, -1.3861432129698767, -1.0789871508062039]														
0	433 MHz Radio	-48 db	4	Good	0	0	288602	KM6GNL	28.100000381469727	0.5810384154319763	0.061891455203294754	44.82460123697917	-73.16708170572916	44.099998474121094	12.6033935546875	0.0	0.0	2022-10-15 11:01:27	0	6	0	2022-10-15 11:01:30	1	3.96615400531352																												
