PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 3810
Apogee: 5608' AGL
Ground Elevation: 288' MSL
NumSamps: 2328
Flight Number: 5
Main Setting: 500' AGL
Apogee Delay: 2 Seconds
Drogue At: 20.80 Seconds
Main At: 85.50 Seconds
Max Drogue Current: 0 Amps
Max Main Current: 0 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
23.10, 5478, -97, 45.61, 8.20
23.15, 5479, -90, 45.61, 8.20
23.20, 5505, -88, 45.61, 8.20
23.25, 5467, -91, 45.61, 8.20
23.30, 5459, -95, 45.61, 8.20
23.35, 5468, -98, 45.61, 8.20
23.40, 5477, -97, 45.61, 8.20
23.45, 5476, -92, 45.57, 8.20
23.50, 5464, -85, 45.57, 8.20
23.55, 5458, -77, 45.57, 8.20
23.60, 5451, -71, 45.57, 8.20
23.65, 5437, -68, 45.57, 8.20
23.70, 5418, -71, 45.57, 8.20
23.75, 5408, -80, 45.57, 8.20
23.80, 5374, -96, 45.57, 8.20
23.85, 5348, -111, 45.57, 8.20
23.90, 5321, -121, 45.57, 8.20
23.95, 5315, -122, 45.57, 8.20
24.00, 5327, -112, 45.54, 8.20
24.05, 5361, -99, 45.54, 8.20
24.10, 5387, -90, 45.54, 8.20
24.15, 5386, -88, 45.54, 8.20
24.20, 5344, -94, 45.52, 8.20
24.25, 5314, -101, 45.48, 8.20
24.30, 5310, -105, 45.48, 8.20
24.35, 5320, -104, 45.46, 8.20
24.40, 5326, -99, 45.46, 8.20
24.45, 5338, -94, 45.46, 8.20
24.50, 5344, -89, 45.46, 8.20
24.55, 5366, -85, 45.43, 8.20
24.60, 5374, -80, 45.41, 8.20
24.65, 5370, -75, 45.43, 8.20
24.70, 5364, -70, 45.43, 8.20
24.75, 5334, -65, 45.43, 8.20
24.80, 5317, -60, 45.41, 8.20
24.85, 5279, -56, 45.41, 8.20
24.90, 5233, -54, 45.41, 8.20
24.95, 5250, -55, 45.41, 8.20
25.00, 5325, -59, 45.43, 8.20
25.05, 5356, -63, 45.41, 8.20
25.10, 5340, -64, 45.39, 8.20
