timestampMs	pressurePa	tempK	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	imuTemp	battV	altitudeM	velocityMS	accelerationMSS	unfiltAlt	flightState	drogueCont	drogueFired	mainCont	mainFired
445115	100651.031250	304.17	-9.811438	0.526724	0.416591	-0.008513	0.004256	0.013834	302.67	4.02	-0.13	0.16	0.00	59.382926	0	0	0	0	0
450115	100670.500000	304.17	-9.825803	0.574608	0.407014	-0.006385	0.009578	0.010642	302.66	4.01	-0.36	0.64	0.00	57.663040	0	0	0	0	0
455115	100689.968750	304.17	-9.801861	0.316034	0.373495	-0.005321	0.006385	0.017027	302.69	4.03	-1.87	-0.73	0.00	55.943420	0	0	0	0	0
460115	100670.500000	304.17	-9.816226	0.493205	0.402225	0.000000	0.004256	0.012770	302.66	4.03	-1.81	-0.46	0.00	57.663040	0	0	0	0	0
465115	100670.500000	304.17	-9.816226	0.402225	0.397437	-0.006385	0.005321	0.009578	302.63	4.02	-1.09	-0.34	0.00	57.663040	0	0	0	0	0
470115	100651.031250	304.17	-9.816226	0.574608	0.397437	-0.011706	0.004256	0.011706	302.63	4.02	0.31	0.57	0.00	59.382926	0	0	0	0	0
475115	100670.500000	304.17	-9.811438	0.497993	0.430956	-0.012770	0.006385	0.002128	302.64	4.03	-0.66	-0.70	0.00	57.663040	0	0	0	0	0
480115	100651.031250	304.17	-9.816226	0.464475	0.359130	-0.005321	0.006385	0.012770	302.64	4.02	0.02	0.25	0.00	59.382926	0	0	0	0	0
485115	100670.500000	304.17	-9.801861	0.565031	0.368707	-0.004256	0.005321	0.013834	302.64	4.02	-1.16	-0.49	0.00	57.663040	0	0	0	0	0
490115	100670.500000	304.17	-9.797073	0.426167	0.435744	-0.010642	0.006385	0.011706	302.67	4.02	-0.02	-0.37	0.00	57.663040	0	0	0	0	0
495115	100651.031250	304.17	-9.797073	0.502782	0.392649	-0.007449	0.006385	0.008513	302.66	4.02	1.15	0.63	0.00	59.382926	0	0	0	0	0
500115	100670.500000	304.17	-9.806650	0.459686	0.387860	-0.006385	0.005321	0.012770	302.66	4.03	-0.27	-0.73	0.00	57.663040	0	0	0	0	0
505115	100651.031250	304.17	-9.811438	0.474051	0.392649	-0.009578	0.004256	0.012770	302.63	4.02	0.36	-0.13	0.00	59.382926	0	0	0	0	0
510115	100651.031250	304.17	-9.806650	0.545877	0.383072	0.002128	0.005321	0.007449	302.66	4.01	0.36	0.50	0.00	59.382926	0	0	0	0	0
515115	100670.500000	304.17	-9.816226	0.588973	0.392649	-0.002128	0.005321	0.017027	302.66	4.02	-0.76	-0.48	0.00	57.663040	0	0	0	0	0
520115	100670.500000	304.17	-9.801861	0.325611	0.430956	-0.011706	0.004256	0.006385	302.63	4.02	-0.45	-0.08	0.00	57.663040	0	0	0	0	0
525115	100647.453125	304.16	-9.811438	0.488417	0.392649	-0.005321	0.003192	0.009578	302.69	4.02	0.97	0.79	0.00	59.699054	0	0	0	0	0
530115	100670.500000	304.17	-9.801861	0.450109	0.397437	-0.005321	0.003192	0.010642	302.69	4.02	-0.21	-0.31	0.00	57.663040	0	0	0	0	0
535115	100670.500000	304.17	-9.801861	0.478840	0.402225	-0.006385	0.004256	0.011706	302.69	4.02	-0.72	-1.05	0.00	57.663040	0	0	0	0	0
540115	100651.031250	304.17	-9.816226	0.550666	0.339976	0.000000	0.008513	0.001064	302.60	4.02	0.30	0.16	0.00	59.382926	0	0	0	0	0
545115	100651.031250	304.17	-9.816226	0.474051	0.344765	-0.011706	0.004256	0.012770	302.69	4.02	0.45	0.10	0.00	59.382926	0	0	0	0	0
550115	100670.500000	304.17	-9.816226	0.397437	0.426167	-0.008513	0.006385	0.009578	302.66	4.02	0.11	-0.82	0.00	57.663040	0	0	0	0	0
555115	100631.546875	304.17	-9.806650	0.392649	0.402225	-0.004256	0.006385	0.013834	302.66	4.02	1.11	0.88	0.00	61.104465	0	0	0	0	0
560115	100631.546875	304.17	-9.806650	0.531512	0.383072	-0.006385	0.007449	0.010642	302.66	4.02	0.84	0.15	0.00	61.104465	0	0	0	0	0
565115	100651.031250	304.17	-9.801861	0.435744	0.407014	-0.010642	0.003192	0.008513	302.66	4.02	0.48	-0.59	0.00	59.382926	0	0	0	0	0
566865	100534.171875	304.17	-147.607315	5.051765	22.673089	1.219602	0.063853	-0.014899	302.69	4.02	3.64	21.28	109.22	69.712059	1	0	0	0	0
566875	100573.125000	304.17	-148.837936	3.869029	21.566968	1.278134	0.179854	-0.002128	302.70	4.01	4.72	23.45	112.05	66.267936	1	0	0	0	0
566885	100514.703125	304.17	-148.584152	-7.292738	14.235922	0.681104	0.070238	0.027669	302.72	4.01	6.84	26.62	114.58	71.433837	1	0	0	0	0
566895	100612.078125	304.17	-149.556198	11.051634	1.345541	0.444846	0.400148	0.037247	302.67	4.01	6.31	27.19	116.98	62.824893	1	0	0	0	0
